date,time,ip,urlrequested,agent,referrer,search,nation,os,browser,searchengine,spider,feed
"20191105","18:18:02","80.101.226.253","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","18:45:22","80.101.226.253","/hechtingsproblemen/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","18:45:56","80.101.226.253","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","18:50:31","80.101.226.253","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:11:02","80.101.226.253","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:16:36","80.101.226.253","/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:16:48","80.101.226.253","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/2019/11/03/onvoldoende-veilige-hechting-en-relaties/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:17:01","80.101.226.253","/hechting/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:18:04","80.101.226.253","/hechtingsproblemen/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechting/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:21:47","80.101.226.253","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:56:16","80.101.226.253","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","19:57:41","80.101.226.253","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:00:58","80.101.226.253","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/hechtingsproblemen/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:18:06","80.101.226.253","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/contact-opnemen-met-veilig-gehecht/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:28:55","80.101.226.253","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/contact-opnemen-met-veilig-gehecht/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:29:16","80.101.226.253","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:33:34","80.101.226.253","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:33:39","80.101.226.253","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:36:50","80.101.226.253","/contact-opnemen-met-veilig-gehecht/","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.18362","https://www.veilig-gehecht.nl/","","nl","Windows 10.0","Chrome 70","","",""
"20191105","20:38:18","2001:980:a1ad:1:6c63:c00:434d:7bd5","","Mozilla/5.0 (Linux; Android 10; GM1903) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.90 Mobile Safari/537.36","","","nl","Android Linux 1","Chrome 78","","",""
